account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
62317591679,10153852560601680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852560601680,2016-09-23,link,mostly true,,272,3795,123
62317591679,10153852595686680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852595686680,2016-09-23,link,mostly true,,53,440,213
62317591679,10153852626836680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852626836680,2016-09-23,link,mostly true,,13,155,29
62317591679,10153852680701680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852680701680,2016-09-23,link,mostly true,,46,617,202
62317591679,10153852719596680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852719596680,2016-09-23,link,mostly true,,64,332,182
62317591679,10153852762541680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852762541680,2016-09-23,link,mostly true,,2,47,6
62317591679,10153852796981680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852796981680,2016-09-23,link,mostly true,,133,633,194
62317591679,10153852828751680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852828751680,2016-09-23,link,mostly true,,314,1075,379
62317591679,10153852873576680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852873576680,2016-09-23,link,mostly true,,1523,7737,845
62317591679,10153852915751680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852915751680,2016-09-23,link,mostly true,,10,133,95
62317591679,10153852969296680,mainstream,Politico,https://www.facebook.com/politico/posts/10153852969296680,2016-09-23,link,mostly true,,64,605,317
62317591679,10153853018636680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853018636680,2016-09-23,link,mostly true,,51,251,52
62317591679,10153853060316680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853060316680,2016-09-23,link,mostly true,,27,243,47
62317591679,10153853093431680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853093431680,2016-09-23,link,mostly true,,4,46,61
62317591679,10153853130336680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853130336680,2016-09-23,link,mostly true,,41,587,132
62317591679,10153853172041680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853172041680,2016-09-23,link,mostly true,,40,267,99
62317591679,10153853200791680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853200791680,2016-09-23,link,mostly true,,108,886,773
62317591679,10153853224566680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853224566680,2016-09-23,link,mostly true,,33,177,230
62317591679,10153853252201680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853252201680,2016-09-23,link,mostly true,,35,189,127
62317591679,10153853271431680,mainstream,Politico,https://www.facebook.com/politico/posts/10153853271431680,2016-09-23,link,mostly true,,18,144,117
62317591679,10153858905721680,mainstream,Politico,https://www.facebook.com/politico/posts/10153858905721680,2016-09-26,link,mostly true,,25,543,58
62317591679,10153858936641680,mainstream,Politico,https://www.facebook.com/politico/posts/10153858936641680,2016-09-26,link,mostly true,,31,504,215
62317591679,10153858968651680,mainstream,Politico,https://www.facebook.com/politico/posts/10153858968651680,2016-09-26,link,mostly true,,9,273,113
62317591679,10153858997181680,mainstream,Politico,https://www.facebook.com/politico/posts/10153858997181680,2016-09-26,link,mostly true,,35,282,18
62317591679,10153859022796680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859022796680,2016-09-26,link,mostly true,,458,2936,113
62317591679,10153859049051680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859049051680,2016-09-26,link,mostly true,,419,1111,518
62317591679,10153859084076680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859084076680,2016-09-26,link,mostly true,,34,326,174
62317591679,10153859159961680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859159961680,2016-09-26,link,mostly true,,119,405,72
62317591679,10153859289826680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859289826680,2016-09-26,link,mostly true,,270,1231,337
62317591679,10153859309321680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859309321680,2016-09-26,link,mostly true,,24,205,35
62317591679,10153859362661680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859362661680,2016-09-26,link,mostly true,,92,335,152
62317591679,10153859454701680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859454701680,2016-09-26,link,mostly true,,148,764,734
62317591679,10153859478516680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859478516680,2016-09-26,link,mostly true,,17,96,44
62317591679,10153859503661680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859503661680,2016-09-26,link,mostly true,,597,1427,327
62317591679,10153859529161680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859529161680,2016-09-26,link,mostly true,,3,18,4
62317591679,10153859552511680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859552511680,2016-09-26,link,mostly true,,13,60,18
62317591679,10153859593866680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859593866680,2016-09-26,link,mostly true,,24,182,95
62317591679,10153859635511680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859635511680,2016-09-26,link,mostly true,,167,866,80
62317591679,10153859655731680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859655731680,2016-09-26,link,mostly true,,450,2782,257
62317591679,10153859680776680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859680776680,2016-09-26,link,mostly true,,24,72,32
62317591679,10153859704106680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859704106680,2016-09-26,link,mostly true,,84,812,600
62317591679,10153859726306680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859726306680,2016-09-26,link,mostly true,,16,147,65
62317591679,10153859749961680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859749961680,2016-09-26,link,mostly true,,65,506,153
62317591679,10153859777431680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859777431680,2016-09-26,link,mostly true,,74,921,165
62317591679,10153859818691680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859818691680,2016-09-26,link,mostly true,,23,277,278
62317591679,10153859872071680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859872071680,2016-09-26,link,mostly true,,6,121,3
62317591679,10153859901176680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859901176680,2016-09-26,link,mostly true,,27,388,230
62317591679,10153859930246680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859930246680,2016-09-26,link,mostly true,,35,288,110
62317591679,10153859966556680,mainstream,Politico,https://www.facebook.com/politico/posts/10153859966556680,2016-09-26,link,mostly true,,13,65,29
62317591679,10153860025456680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860025456680,2016-09-26,link,mostly true,,12233,21425,1005
62317591679,10153860062136680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860062136680,2016-09-26,link,mostly true,,9,59,3
62317591679,10153860101741680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860101741680,2016-09-26,link,mostly true,,8,187,116
62317591679,10153860155341680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860155341680,2016-09-26,link,mostly true,,46,134,32
62317591679,10153860198456680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860198456680,2016-09-26,link,mostly true,,36,292,172
62317591679,10153860245701680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860245701680,2016-09-26,link,mostly true,,10,103,52
62317591679,10153860289606680,mainstream,Politico,https://www.facebook.com/politico/posts/10153860289606680,2016-09-26,link,mostly true,,14,177,112
